Entry	Date	Description
1208843334	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169928] filed by Employees of OpenAI and Google in their personal capacities [Service Date: 04/22/2026 ] Length of Brief: 3,282 Words. [26-1049] (Lev, Ori) [Entered: 04/22/2026 05:29 PM]
1208843337	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169929] filed by American Civil Liberties Union and Center for Democracy and Technology [Service Date: 04/22/2026 ] Length of Brief: 6,496 words. [26-1049] (Gorski, Ashley) [Entered: 04/22/2026 05:30 PM]
1208843343	2026-04-22	AMICUS FOR PETITIONER BRIEF [2169931] filed by Former Service Secretaries [Service Date: 04/22/2026 ] Length of Brief: 3,776 Words. [26-1049] (Harrington, Sarah) [Entered: 04/22/2026 05:43 PM]
1208843391	2026-04-22	AMICUS FOR PETITIONER BRIEF [2169949] filed by ACT | The App Association [Service Date: 04/22/2026 ] Length of Brief: This brief complies with Fed. R. App. P. 29(a)(5) and 32(f) because it con-tains 2103 words, excluding the parts of the brief exempted by Fed. R. App. P. 32(f).. [26-1049] (Scarpelli, Brian) [Entered: 04/22/2026 06:44 PM]
1208843394	2026-04-22	PETITIONER BRIEF [2169950] filed by Anthropic PBC [Service Date: 04/22/2026 ] Length of Brief: 12,890 words. [26-1049] (Dunbar, Kelly) [Entered: 04/22/2026 06:45 PM]
1208843397	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169951] filed by Leon Panetta and the Institute for Security and Technology [Service Date: 04/22/2026 ] Length of Brief: 34 Pages. [26-1049] (Klapper, Matthew) [Entered: 04/22/2026 06:47 PM]
1208843409	2026-04-22	APPENDIX [2169955] filed by Anthropic PBC [Volumes: 4] [Service Date: 04/22/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 04/22/2026 07:11 PM]
1208843421	2026-04-22	AMICUS FOR PETITIONER BRIEF [2169958] filed by 149 Former Judges and Democracy Defenders Fund [Service Date: 04/22/2026 ] Length of Brief: 5592. [26-1049] (Costa, Gregg) [Entered: 04/22/2026 07:47 PM]
1208843442	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169965] filed by Foundation for Individual Rights and Expression, Cato Institute, First Amendment Lawyers Association, Electronic Frontier Foundation and Chamber of Progress [Service Date: 04/22/2026 ] Length of Brief: 5,566 words. [26-1049] (Shah, Sopen) [Entered: 04/22/2026 08:35 PM]
1208843451	2026-04-22	NOTICE [2169968] of intention to participate as amicus curiae [Disclosure Listing: Attached] filed by TechNet, Software & Information Industry Association, Computer & Communications Industry Association, Information Technology Industry Council [Service Date: 04/22/2026 ] [26-1049] (Wolff, Daniel) [Entered: 04/22/2026 08:45 PM]
1208843454	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169969] filed by Faith Family Technology Network [Service Date: 04/22/2026 ] Length of Brief: 3530 Words.. [26-1049] (Kilaru, Rakesh) [Entered: 04/22/2026 08:45 PM]
1208843463	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169972] filed by TechNet, Software & Information Industry Association, Computer & Communications Industry Association and Information Technology Industry Council [Service Date: 04/22/2026 ] Length of Brief: 5,961 words. [26-1049] (Wolff, Daniel) [Entered: 04/22/2026 09:04 PM]
1208843469	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169974] filed by Alan Z. Rozenshtein [Service Date: 04/22/2026 ] Length of Brief: 4,386 words. [26-1049] (Theodore, Elisabeth) [Entered: 04/22/2026 09:27 PM]
1208843643	2026-04-23	AMICUS FOR RESPONDENT BRIEF [2170051] filed by JOEL THAYER, SENIOR FELLOW AT THE AMERICA FIRST POLICY INSTITUTE [Service Date: 04/23/2026 ] Length of Brief: 3,157 words. [26-1049] (Thayer, Joel) [Entered: 04/23/2026 01:04 PM]
1208843910	2026-04-23	CERTIFIED INDEX TO RECORD [2170179] filed by Peter B. Hegseth and United States Department of War [Service Date: 04/23/2026 ] [26-1049] (Janda, Sean) [Entered: 04/23/2026 06:00 PM]
1208844849	2026-04-27	CORRECTED AMICUS FOR PETITIONER BRIEF [2170651] filed by Former Service Secretaries [Service Date: 04/27/2026 ] Length of Brief: 3,765 Words. [26-1049] (Harrington, Sarah) [Entered: 04/27/2026 05:57 PM]
1208845354	2026-04-28	CORRECTED AMICUS FOR PETITIONER BRIEF [2170925] filed by Freedom Economy Business Association, Candide Group, Howard Fischer, Thomas Haslett, Humanize Wealth, Institute for Progress, Investor Advocates for Social Justice, Mission Driven Finance, John O'Farrell, Pluralize Capital, The Interfaith Center on Corporate Responsibility and The Nathan Cummings Foundation, Inc. American Federation of Teach
1208847713	2026-05-06	PER CURIAM ORDER [2172079] filed allocating oral argument time as follows: Petitioner - 15 Minutes, Respondents - 15 Minutes. One counsel per side to argue; directing party to file Form 72 notice of arguing attorney by 05/08/2026 [26-1049] [Entered: 05/06/2026 01:51 PM]
1208847824	2026-05-06	NOTICE [2172136] to withdraw attorney Sopen B. Shah who represented Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association and Foundation for Individual Rights and Expression in 26-1049 filed by Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association and Foundation for Individual Rights and Expressio
1208847842	2026-05-06	RESPONDENT BRIEF [2172140] filed by Peter B. Hegseth and United States Department of War [Service Date: 05/06/2026 ] Length of Brief: 12,966 words. [26-1049] (Janda, Sean) [Entered: 05/06/2026 08:54 PM]
-	2026-05-08	FORM 72 submitted by arguing attorney, Sharon Swingle, on behalf of Respondents Peter B. Hegseth and United States Department of War (For Internal Use Only: Form is restricted to protect counsel's personal contact information). [26-1049] (Swingle, Sharon)
-	2026-05-08	FORM 72 submitted by arguing attorney, Kelly P. Dunbar, on behalf of Petitioner Anthropic PBC (For Internal Use Only: Form is restricted to protect counsel's personal contact information). [26-1049] (Dunbar, Kelly) [Entered: 05/08/2026 09:10 AM]
-	2026-05-08	FORM 72 submitted by arguing attorney, Sharon Swingle, on behalf of Respondents Peter B. Hegseth and United States Department of War (For Internal Use Only: Form is restricted to protect counsel's personal contact information). [26-1049] (Swingle, Sharon) [Entered: 05/08/2026 09:49 AM]
1208849217	2026-05-12	LETTER [2172918] Update statements in response brief and declaration filed by Peter B. Hegseth and United States Department of War [Service Date: 05/12/2026 ] [26-1049] (Swingle, Sharon) [Entered: 05/12/2026 11:24 AM]
1208849337	2026-05-12	NOTICE [2172982] to withdraw attorney Alexander A. Berengaut who represented Former Service Secretaries and Retired Senior Military Officers in 26-1049 filed by Former Service Secretaries and Retired Senior Military Officers [Service Date: 05/12/2026 ] [26-1049] (Berengaut, Alexander) [Entered: 05/12/2026 03:01 PM]
1208849633	2026-05-13	PETITIONER REPLY BRIEF [2173124] filed by Anthropic PBC [Service Date: 05/13/2026 ] Length of Brief: 6,465 words. [26-1049] (Dunbar, Kelly) [Entered: 05/13/2026 01:39 PM]
1208851556	2026-05-19	ORAL ARGUMENT HELD before Judges Henderson, Katsas and Rao. [26-1049] [Entered: 05/19/2026 03:41 PM]
1208852485	2026-05-21	JOINT UNOPPOSED MOTION [2174576] to extend time to file brief to 06/04/2026 filed by Peter B. Hegseth, United States Department of War and Anthropic PBC [Service Date: 05/21/2026 ] Length Certification: 357 words. [26-1049] (Janda, Sean)
1208852327	2026-05-21	PER CURIAM ORDER [2174506] filed on the court's own motion, that the parties file supplemental briefs (see order for details). The supplemental briefs, not to exceed 2,500 words, are due by 4:00 p.m. on May 28, 2026. In addition to filing electronically, the parties are directed to hand-deliver the paper copies of their submissions to the court by the time and date due. Before Judges: Henderson, K
1208852954	2026-05-22	PER CURIAM ORDER [2174795] filed granting joint motionfor extension of time [2174576-2]. The parties' supplemental briefs are now due by 4:00 p.m. on 06/04/2026. Before Judges: Henderson, Katsas and Rao. [26-1049]
